course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
fra_for_eng	pod-0-unrecorded	fra	premium	hbxkrnwm	tts	7	2026-06-07	2026-06-10	0	0	7	0
fra_for_eng	pod-0-unrecorded	fra	premium	xai_ara	tts	3	2026-06-10	2026-06-10	0	0	3	0
fra_for_eng	pod-0-unrecorded	fra	premium	eve	tts	13	2026-06-10	2026-06-10	0	0	13	0
fra_for_eng	pod-0-unrecorded	fra	premium	69smp8rm	tts	13	2026-06-10	2026-06-19	0	0	13	0
fra_for_jpn	pod-0	fra	premium	0p0rt7o1	tts	56	2026-06-08	2026-06-10	0	0	56	0
fra_for_jpn	pod-0	fra	premium	ara	tts	45	2026-06-08	2026-06-10	0	0	45	0
fra_for_jpn	pod-0	fra	premium	hbxkrnwm	tts	8	2026-06-10	2026-06-10	0	0	8	0
fra_for_jpn	pod-0	fra	premium	eve	tts	12	2026-06-10	2026-06-19	0	0	12	0
fra_for_jpn	pod-0	fra	premium	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
fra_for_jpn	pod-0	fra	premium	xai_ara	tts	2	2026-06-10	2026-06-10	0	0	2	0
fra_for_jpn	pod-0	fra	premium	69smp8rm	tts	17	2026-06-10	2026-06-19	0	0	17	0
gle_for_eng	pod-0	gle	free	ga-IE-OrlaNeural	tts	60	2026-02-18	2026-06-19	0	0	60	0
gle_for_eng	pod-0	gle	free	azure_ga-IE-OrlaNeural	tts	12	2026-05-05	2026-06-11	0	0	12	0
gle_for_eng	pod-0	gle	free	ga-IE-ColmNeural	tts	62	2026-05-06	2026-06-19	0	0	62	0
gle_for_eng	pod-0	gle	free	azure_ga-IE-ColmNeural	tts	8	2026-06-10	2026-06-11	0	0	8	0
gle_for_eng	pod-0-unrecorded	gle	free	ga-IE-OrlaNeural	tts	50	2026-02-18	2026-06-19	0	0	50	0
gle_for_eng	pod-0-unrecorded	gle	free	azure_ga-IE-OrlaNeural	tts	8	2026-05-05	2026-06-11	0	0	8	0
