language	role	voice_id	display_name	clip_count	chars_per_sec	ratio_to_median
spa	target2	azure_es-MX-LucianoNeural		10108	8.119	0.805
srp	target1	azure_sr-Latn-RS-SophieNeural		3993	11.139	1.000
srp	target2	azure_sr-Latn-RS-NicholasNeural		3993	10.324	1.000
sv-SE	pod_take_g	ara	Ara	129	14.921	1.053
sv-SE	pod_take_g	e22152e06fd8	Axel	141	13.415	0.947
sw	pod_explainer	comp:leo		275	14.932	1.000
swa	target1	sw-KE-RafikiNeural	Rafiki	251	9.859	1.021
swa	target1	sw-KE-ZuriNeural	Zuri	311	9.658	1.000
swa	target1	azure_sw-KE-ZuriNeural		4726	9.324	0.965
swa	target2	sw-KE-RafikiNeural	Rafiki	3757	9.916	1.008
swa	target2	azure_sw-KE-RafikiNeural		853	9.763	0.992
swe	target1	xai_3b312632		223	13.094	1.045
swe	target1	xai_4c7f16ff		168	12.722	1.015
swe	target1	e22152e06fd8	Axel	134	12.346	0.985
swe	target1	azure_sv-SE-SofieNeural		3716	9.508	0.759
swe	target2	azure_sv-SE-MattiasNeural		3714	8.962	1.000
ta	known	ta-LK-SaranyaNeural	Saranya	160	11.331	1.000
tam	known	azure_ta-LK-SaranyaNeural		32058	12.434	1.000
tam	pod_explainer	ta-LK-SaranyaNeural	Saranya	359	9.785	1.000
tam	presentation	azure_ta-LK-KumarNeural		1907	9.888	1.036
tam	presentation	azure_ta-LK-SaranyaNeural		3429	9.205	0.964
tel	known	azure_te-IN-ShrutiNeural		11496	12.568	1.000
tel	presentation	azure_te-IN-ShrutiNeural		2155	14.008	1.000
th-TH	pod_take_g	ara	Ara	118	14.493	1.073
th-TH	pod_take_g	908c4626660f	Krit	119	12.521	0.927
tha	target1	ara	Ara	116	12.344	1.085
tha	target1	xai_ara		123	11.769	1.034
tha	target1	908c4626660f	Krit	146	10.995	0.966
tha	target1	azure_th-TH-PremwadeeNeural		3268	8.644	0.759
tha	target2	azure_th-TH-NiwatNeural		3266	9.428	1.000
tr	pod_explainer	comp:leo		258	15.420	1.133
tr	pod_explainer	gfzdpspr5fdp	Tom	218	11.789	0.867
tr-TR	pod_take_g	ara	Ara	138	15.671	1.053
tr-TR	pod_take_g	670a0c3ac005	Emre	137	14.088	0.947
tur	target1	xai_ara		110	14.318	1.007
tur	target1	670a0c3ac005	Emre	130	14.218	1.000
tur	target1	azure_tr-TR-AhmetNeural		7926	9.400	0.661
tur	target2	azure_tr-TR-EmelNeural		7925	10.246	1.000
